2010,21/04/2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,35,0,KA Pollard,Dr DY Patil Sports Academy	
2010,22/03/2010,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,0,7,SR Tendulkar,Brabourne Stadium	
2010,25/03/2010,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,5,SR Tendulkar,Brabourne Stadium	
2010,25/04/2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,22,0,SK Raina,Dr DY Patil Sports Academy	
2010,28/03/2010,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,41,0,Harbhajan Singh,Dr DY Patil Sports Academy	
2010,30/03/2010,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,4,SL Malinga,Brabourne Stadium	
2011,02/05/2011,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,23,0,KA Pollard,Wankhede Stadium	
2011,04/05/2011,Mumbai Indians,Pune Warriors,Pune Warriors,field,Mumbai Indians,21,0,R Sharma,Dr DY Patil Sports Academy	
2011,07/05/2011,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,32,0,AT Rayudu,Wankhede Stadium	
2011,10/04/2011,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians,0,8,SL Malinga,Feroz Shah Kotla	
2011,10/05/2011,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,76,0,BA Bhatt,Punjab Cricket Association Stadium	
2011,12/04/2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,9,SR Tendulkar,M Chinnaswamy Stadium	
2011,14/05/2011,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,10,0,A Mishra,Wankhede Stadium	
2011,15/04/2011,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,0,8,BB McCullum,Wankhede Stadium	
2011,20/04/2011,Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians,0,7,MM Patel,Wankhede Stadium	
2011,20/05/2011,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,0,10,SR Watson,Wankhede Stadium	
2011,22/04/2011,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,8,0,Harbhajan Singh,Wankhede Stadium	
2011,22/05/2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,5,JEC Franklin,Eden Gardens	
2011,24/04/2011,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,37,0,SL Malinga,Rajiv Gandhi International Stadium	
2011,25/05/2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,4,MM Patel,Wankhede Stadium	
2011,27/05/2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,43,0,CH Gayle,MA Chidambaram Stadium	
2011,29/04/2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,7,J Botha,Sawai Mansingh Stadium	
2012,03/05/2012,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians,1,0,SL Malinga,Subrata Roy Sahara Stadium	
2012,04/04/2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,8,RE Levi,MA Chidambaram Stadium	
2012,06/04/2012,Pune Warriors,Mumbai Indians,Mumbai Indians,field,Pune Warriors,28,0,SPD Smith,Wankhede Stadium	
2012,06/05/2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,2,DR Smith,Wankhede Stadium	
2012,09/04/2012,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Mumbai Indians,0,5,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadiu	
2012,09/05/2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,CH Gayle,Wankhede Stadium	
2012,11/04/2012,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,27,0,KA Pollard,Wankhede Stadium	
2012,12/05/2012,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,27,0,RG Sharma,Eden Gardens	
2012,14/05/2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,5,AT Rayudu,M Chinnaswamy Stadium	
2012,16/04/2012,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,7,S Nadeem,Wankhede Stadium	
2012,16/05/2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,32,0,SP Narine,Wankhede Stadium	
2012,20/05/2012,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,0,10,DR Smith,Sawai Mansingh Stadium	
2012,22/04/2012,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,0,6,SE Marsh,Wankhede Stadium	
2012,23/05/2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,38,0,MS Dhoni,M Chinnaswamy Stadium	
2012,25/04/2012,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,0,4,AT Rayudu,Punjab Cricket Association Stadium	
2012,27/04/2012,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,37,0,V Sehwag,Feroz Shah Kotla	
2012,29/04/2012,Deccan Chargers,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,5,DW Steyn,Wankhede Stadium	
2013,01/05/2013,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,0,7,I Sharma,Rajiv Gandhi International Stadium	
2013,04/04/2013,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,2,0,CH Gayle,M Chinnaswamy Stadium	
2013,05/05/2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,60,0,MG Johnson,Wankhede Stadium	
2013,06/04/2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,9,0,KA Pollard,MA Chidambaram Stadium	
2013,07/05/2013,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,65,0,SR Tendulkar,Wankhede Stadium	
2013,09/04/2013,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,44,0,KD Karthik,Wankhede Stadium	
